日最高気温の平均(℃),year,month,チョコレート【円/日】,アイスクリーム・シャーベット【円/日】,feb
17,2009,11,12.16666667,13.4,0
12.4,2009,12,15.03225806,14.19354839,0
11,2010,1,14.70967742,11.67741935,0
9.9,2010,2,40.07142857,10.89285714,1
13.2,2010,3,13.19354839,12.35483871,0
16.6,2010,4,9.566666667,15.46666667,0
23,2010,5,7.516129032,24.25806452,0
27.5,2010,6,7.333333333,28.03333333,0
31.6,2010,7,4.806451613,39.06451613,0
33.5,2010,8,4.322580645,46.80645161,0
29,2010,9,6.966666667,28.8,0
21.8,2010,10,10.29032258,16.25806452,0
17.2,2010,11,11.76666667,11.7,0
13.7,2010,12,13.93548387,13.64516129,0
9.1,2011,1,14.74193548,11.16129032,0
11.2,2011,2,39.96428571,10.32142857,1
12.3,2011,3,12.80645161,10.61290323,0
18.9,2011,4,9.633333333,15.4,0
22.2,2011,5,8.483870968,21.67741935,0
26,2011,6,6.466666667,26.36666667,0
30.9,2011,7,5.161290323,40.80645161,0
31.2,2011,8,5.032258065,40.03225806,0
28.8,2011,9,7,25.56666667,0
23,2011,10,10,16.64516129,0
18.3,2011,11,11.86666667,13.1,0
11.1,2011,12,14.93548387,13.64516129,0
8.3,2012,1,14.87096774,10.93548387,0
9.1,2012,2,40.10344828,9.448275862,1
12.5,2012,3,13.16129032,12.41935484,0
18.5,2012,4,9.633333333,17.46666667,0
23.6,2012,5,8.935483871,21.64516129,0
24.8,2012,6,7.033333333,26.6,0
30.1,2012,7,4.935483871,37.58064516,0
33.1,2012,8,5.193548387,42.96774194,0
29.8,2012,9,7.1,28.3,0
23,2012,10,10.74193548,16.61290323,0
16.3,2012,11,13,10.86666667,0
11.2,2012,12,15.16129032,13.35483871,0
9.6,2013,1,15.80645161,11.70967742,0
10.3,2013,2,44.32142857,11.5,1
16.4,2013,3,14.32258065,14.12903226,0
19.2,2013,4,10.3,17.5,0
24.1,2013,5,8.870967742,24.5483871,0
26.5,2013,6,7.166666667,29.26666667,0
31.4,2013,7,5.516129032,39.80645161,0
33.2,2013,8,5.612903226,46.35483871,0
28.8,2013,9,7.633333333,26.46666667,0
23,2013,10,10.61290323,17.70967742,0
17.4,2013,11,12.96666667,12.33333333,0
12.1,2013,12,15.96774194,14.35483871,0
10.6,2014,1,17.70967742,12.77419355,0
9.8,2014,2,42.60714286,11.03571429,1
14.5,2014,3,17.03225806,14.41935484,0
19.6,2014,4,11.36666667,17.33333333,0
24.7,2014,5,9.838709677,25.90322581,0
26.9,2014,6,7.566666667,30,0
30.5,2014,7,6.709677419,38.77419355,0
31.2,2014,8,6.483870968,39.93548387,0
26.9,2014,9,9.133333333,24.93333333,0
23,2014,10,13.4516129,18.38709677,0
17.4,2014,11,14.16666667,13.96666667,0
11,2014,12,17.67741935,14.67741935,0
10.4,2015,1,18.03225806,12.93548387,0
10.4,2015,2,47.28571429,12.32142857,1
15.5,2015,3,17.09677419,15.48387097,0
19.3,2015,4,11.13333333,19.66666667,0
26.4,2015,5,9.225806452,29.93548387,0
26.4,2015,6,8.933333333,29.8,0
30.1,2015,7,6.870967742,40.5483871,0
30.5,2015,8,6.838709677,44.64516129,0
26.4,2015,9,10.86666667,25.6,0
22.7,2015,10,13.32258065,19.4516129,0
17.8,2015,11,15.03333333,15.93333333,0
13.4,2015,12,18.87096774,18.74193548,0
10.6,2016,1,21.4516129,14.96774194,0
12.2,2016,2,47.44827586,13.68965517,1
14.9,2016,3,18.70967742,15.90322581,0
20.3,2016,4,13.43333333,20.56666667,0
25.2,2016,5,11.16129032,28.70967742,0
26.3,2016,6,8.9,29.43333333,0
29.7,2016,7,7.129032258,41.67741935,0
31.6,2016,8,6.677419355,44.74193548,0
27.7,2016,9,10.1,28.1,0
22.6,2016,10,13.5483871,20.03225806,0
15.5,2016,11,16.23333333,15.3,0
13.8,2016,12,18.90322581,18.09677419,0
10.8,2017,1,21.64516129,15.77419355,0
12.1,2017,2,50.17857143,13.64285714,1
13.4,2017,3,19.77419355,15.22580645,0
19.9,2017,4,13.96666667,20.8,0
25.1,2017,5,11.67741935,29.51612903,0
26.4,2017,6,11.2,30.46666667,0
31.8,2017,7,7.870967742,44.96774194,0
30.4,2017,8,8.774193548,44.19354839,0
26.8,2017,9,12.03333333,27.53333333,0
20.1,2017,10,16.61290323,19.32258065,0
16.6,2017,11,17.13333333,16.3,0
11.1,2017,12,22.41935484,18.48387097,0
9.4,2018,1,24.61290323,16.35483871,0
10.1,2018,2,49.39285714,14.85714286,1
16.9,2018,3,20.35483871,19.58064516,0
22.1,2018,4,14.2,24.86666667,0
24.6,2018,5,12.96774194,28.83870968,0
26.6,2018,6,10.6,34.03333333,0
32.7,2018,7,8.225806452,48.58064516,0
32.5,2018,8,9.161290323,46.5483871,0
26.6,2018,9,12.76666667,28.7,0
23,2018,10,16.90322581,20.64516129,0
17.7,2018,11,17.26666667,16.4,0
12.1,2018,12,22.64516129,17.32258065,0
10.3,2019,1,25.4516129,15.93548387,0
11.6,2019,2,49.42857143,15.10714286,1
15.4,2019,3,22.93548387,17.48387097,0
19,2019,4,16.5,22.23333333,0
